,Season,Season Name,Name,Age,Hometown,Profession,Finish,Premiering Date,Finale Date,text
0,1,Survivor: Borneo,Sonja Christopher,63,"Walnut Creek, CA",Gym Teacher / Retired,16th,"May 31, 2000","August 23, 2000","Sonja Christopher finishes 16th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Sonja Christopher is 63 years old from Walnut Creek, CA and works as Gym Teacher / Retired. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
1,1,Survivor: Borneo,"Bill ""B.B."" Andersen",64,"Mission Hills, KS",Real Estate Developer,15th,"May 31, 2000","August 23, 2000","Bill ""B.B."" Andersen finishes 15th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Bill ""B.B."" Andersen is 64 years old from Mission Hills, KS and works as Real Estate Developer. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
2,1,Survivor: Borneo,Stacey Stillman,27,"San Francisco, CA",Attorney,14th,"May 31, 2000","August 23, 2000","Stacey Stillman finishes 14th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Stacey Stillman is 27 years old from San Francisco, CA and works as Attorney. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
3,1,Survivor: Borneo,Ramona Gray,29,"Edison, NJ",Biochemist,13th,"May 31, 2000","August 23, 2000","Ramona Gray finishes 13th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Ramona Gray is 29 years old from Edison, NJ and works as Biochemist. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
4,1,Survivor: Borneo,Dirk Been,23,"Spring Green, WI",Dairy Farmer,12th,"May 31, 2000","August 23, 2000","Dirk Been finishes 12th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Dirk Been is 23 years old from Spring Green, WI and works as Dairy Farmer. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
5,1,Survivor: Borneo,Joel Klug,27,"Sherwood, AR",Health Club Consultant,11th,"May 31, 2000","August 23, 2000","Joel Klug finishes 11th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Joel Klug is 27 years old from Sherwood, AR and works as Health Club Consultant. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
6,1,Survivor: Borneo,Gretchen Cordy,38,"Clarksville, TN",Teacher,10th,"May 31, 2000","August 23, 2000","Gretchen Cordy finishes 10th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Gretchen Cordy is 38 years old from Clarksville, TN and works as Teacher. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
7,1,Survivor: Borneo,"Gregory ""Greg"" Buis",24,"Gold Hill, CO",Ivy League Graduate,9th,"May 31, 2000","August 23, 2000","Gregory ""Greg"" Buis finishes 9th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Gregory ""Greg"" Buis is 24 years old from Gold Hill, CO and works as Ivy League Graduate. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
8,1,Survivor: Borneo,"Jennifer ""Jenna"" Lewis",22,"Franklin, NH",Student,8th,"May 31, 2000","August 23, 2000","Jennifer ""Jenna"" Lewis finishes 8th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Jennifer ""Jenna"" Lewis is 22 years old from Franklin, NH and works as Student. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
9,1,Survivor: Borneo,Gervase Peterson,30,"Willingboro, NJ",YMCA Basketball Coach,7th,"May 31, 2000","August 23, 2000","Gervase Peterson finishes 7th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Gervase Peterson is 30 years old from Willingboro, NJ and works as YMCA Basketball Coach. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
10,1,Survivor: Borneo,Colleen Haskell,23,"Miami Beach, FL",Student,6th,"May 31, 2000","August 23, 2000","Colleen Haskell finishes 6th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Colleen Haskell is 23 years old from Miami Beach, FL and works as Student. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
11,1,Survivor: Borneo,Sean Kenniff,30,"Carle Place, NY",Neurologist,5th,"May 31, 2000","August 23, 2000","Sean Kenniff finishes 5th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Sean Kenniff is 30 years old from Carle Place, NY and works as Neurologist. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
12,1,Survivor: Borneo,"Susan ""Sue"" Hawk",38,"Palmyra, WI",Truck Driver,4th,"May 31, 2000","August 23, 2000","Susan ""Sue"" Hawk finishes 4th in  USA Survivor Season 1 titled Survivor: Borneo, 
    Susan ""Sue"" Hawk is 38 years old from Palmyra, WI and works as Truck Driver. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
13,1,Survivor: Borneo,"Rudolph ""Rudy"" Boesch",72,"Virginia Beach, VA",Retired NAVY Seal,3rd,"May 31, 2000","August 23, 2000","Rudolph ""Rudy"" Boesch finishes 3rd in  USA Survivor Season 1 titled Survivor: Borneo, 
    Rudolph ""Rudy"" Boesch is 72 years old from Virginia Beach, VA and works as Retired NAVY Seal. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
14,1,Survivor: Borneo,Kelly Wiglesworth,22,"Kernville, CA",River Rafting Guide,Runner-up,"May 31, 2000","August 23, 2000","Kelly Wiglesworth finishes Runner-up in  USA Survivor Season 1 titled Survivor: Borneo, 
    Kelly Wiglesworth is 22 years old from Kernville, CA and works as River Rafting Guide. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
15,1,Survivor: Borneo,Richard Hatch,39,"Newport, RI",Corporate Trainer,Winner,"May 31, 2000","August 23, 2000","Richard Hatch is a Winner of  USA Survivor Season 1 titled Survivor: Borneo, 
    Richard Hatch is 39 years old from Newport, RI and works as Corporate Trainer. 
    Season 1 titled Survivor: Borneo aired during May 31, 2000 and August 23, 2000
    "
16,2,Survivor: The Australian Outback,"Deborah ""Debb"" Eaton",45,"Milan, NH",Corrections Officer,16th,"January 28, 2001","May 3, 2001","Deborah ""Debb"" Eaton finishes 16th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Deborah ""Debb"" Eaton is 45 years old from Milan, NH and works as Corrections Officer. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
17,2,Survivor: The Australian Outback,"Kelly ""Kel"" Gleason",32,"Fort Hood, TX",Army Intelligence Officer,15th,"January 28, 2001","May 3, 2001","Kelly ""Kel"" Gleason finishes 15th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Kelly ""Kel"" Gleason is 32 years old from Fort Hood, TX and works as Army Intelligence Officer. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
18,2,Survivor: The Australian Outback,"Maralyn ""Mad Dog"" Hershey",51,"Wakefield, VA",Retired Police Officer,14th,"January 28, 2001","May 3, 2001","Maralyn ""Mad Dog"" Hershey finishes 14th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Maralyn ""Mad Dog"" Hershey is 51 years old from Wakefield, VA and works as Retired Police Officer. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
19,2,Survivor: The Australian Outback,Mitchell Olson,23,"Union City, NJ",Singer/Songwriter,13th,"January 28, 2001","May 3, 2001","Mitchell Olson finishes 13th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Mitchell Olson is 23 years old from Union City, NJ and works as Singer/Songwriter. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
20,2,Survivor: The Australian Outback,"Kimberley ""Kimmi"" Kappenberg",28,"Ronkonkoma, NY",Bartender,12th,"January 28, 2001","May 3, 2001","Kimberley ""Kimmi"" Kappenberg finishes 12th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Kimberley ""Kimmi"" Kappenberg is 28 years old from Ronkonkoma, NY and works as Bartender. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
21,2,Survivor: The Australian Outback,Michael Skupin,38,"White Lake, MI",Software Publisher,11th,"January 28, 2001","May 3, 2001","Michael Skupin finishes 11th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Michael Skupin is 38 years old from White Lake, MI and works as Software Publisher. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
22,2,Survivor: The Australian Outback,"Jeffrey ""Jeff"" Varner",34,"New York, NY",Internet Projects Manager,10th,"January 28, 2001","May 3, 2001","Jeffrey ""Jeff"" Varner finishes 10th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Jeffrey ""Jeff"" Varner is 34 years old from New York, NY and works as Internet Projects Manager. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
23,2,Survivor: The Australian Outback,Alicia Calaway,32,"New York, NY",Personal Trainer,9th,"January 28, 2001","May 3, 2001","Alicia Calaway finishes 9th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Alicia Calaway is 32 years old from New York, NY and works as Personal Trainer. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
24,2,Survivor: The Australian Outback,Jerri Manthey,30,"Los Angeles, CA",Aspiring Actress,8th,"January 28, 2001","May 3, 2001","Jerri Manthey finishes 8th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Jerri Manthey is 30 years old from Los Angeles, CA and works as Aspiring Actress. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
25,2,Survivor: The Australian Outback,Nick Brown,23,"Steilacoom, WA",Law Student,7th,"January 28, 2001","May 3, 2001","Nick Brown finishes 7th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Nick Brown is 23 years old from Steilacoom, WA and works as Law Student. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
26,2,Survivor: The Australian Outback,Amber Brkich,22,"Beaver, PA",Administrative Assistant,6th,"January 28, 2001","May 3, 2001","Amber Brkich finishes 6th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Amber Brkich is 22 years old from Beaver, PA and works as Administrative Assistant. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
27,2,Survivor: The Australian Outback,Rodger Bingham,53,"Crittenden, KY",Teacher/Farmer,5th,"January 28, 2001","May 3, 2001","Rodger Bingham finishes 5th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Rodger Bingham is 53 years old from Crittenden, KY and works as Teacher/Farmer. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
28,2,Survivor: The Australian Outback,Elisabeth Filarski,23,"Newton, MA",Footwear Designer,4th,"January 28, 2001","May 3, 2001","Elisabeth Filarski finishes 4th in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Elisabeth Filarski is 23 years old from Newton, MA and works as Footwear Designer. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
29,2,Survivor: The Australian Outback,Keith Famie,40,"West Bloomfield, MI",Chef,3rd,"January 28, 2001","May 3, 2001","Keith Famie finishes 3rd in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Keith Famie is 40 years old from West Bloomfield, MI and works as Chef. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
30,2,Survivor: The Australian Outback,Colby Donaldson,26,"Dallas, TX",Auto Customizer,Runner-up,"January 28, 2001","May 3, 2001","Colby Donaldson finishes Runner-up in  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Colby Donaldson is 26 years old from Dallas, TX and works as Auto Customizer. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
31,2,Survivor: The Australian Outback,Tina Wesson,39,"Knoxville, TN",Personal Nurse,Winner,"January 28, 2001","May 3, 2001","Tina Wesson is a Winner of  USA Survivor Season 2 titled Survivor: The Australian Outback, 
    Tina Wesson is 39 years old from Knoxville, TN and works as Personal Nurse. 
    Season 2 titled Survivor: The Australian Outback aired during January 28, 2001 and May 3, 2001
    "
32,3,Survivor: Africa,Diane Ogden,42,"Lincoln, NE",Mail Carrier,16th,"October 11, 2001","January 10, 2002","Diane Ogden finishes 16th in  USA Survivor Season 3 titled Survivor: Africa, 
    Diane Ogden is 42 years old from Lincoln, NE and works as Mail Carrier. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
33,3,Survivor: Africa,"Yesenia ""Jessie"" Camacho",27,"Orlando, FL",Sheriff,15th,"October 11, 2001","January 10, 2002","Yesenia ""Jessie"" Camacho finishes 15th in  USA Survivor Season 3 titled Survivor: Africa, 
    Yesenia ""Jessie"" Camacho is 27 years old from Orlando, FL and works as Sheriff. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
34,3,Survivor: Africa,Carl Bilancione,46,"Winter Springs, FL",Dentist,14th,"October 11, 2001","January 10, 2002","Carl Bilancione finishes 14th in  USA Survivor Season 3 titled Survivor: Africa, 
    Carl Bilancione is 46 years old from Winter Springs, FL and works as Dentist. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
35,3,Survivor: Africa,Linda Spencer,44,"Boston, MA",Career Counselor,13th,"October 11, 2001","January 10, 2002","Linda Spencer finishes 13th in  USA Survivor Season 3 titled Survivor: Africa, 
    Linda Spencer is 44 years old from Boston, MA and works as Career Counselor. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
36,3,Survivor: Africa,Silas Gaither,23,"Los Angeles, CA",Bartender,12th,"October 11, 2001","January 10, 2002","Silas Gaither finishes 12th in  USA Survivor Season 3 titled Survivor: Africa, 
    Silas Gaither is 23 years old from Los Angeles, CA and works as Bartender. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
37,3,Survivor: Africa,Lindsey Richter,27,"Portland, OR",Advertising Executive,11th,"October 11, 2001","January 10, 2002","Lindsey Richter finishes 11th in  USA Survivor Season 3 titled Survivor: Africa, 
    Lindsey Richter is 27 years old from Portland, OR and works as Advertising Executive. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
38,3,Survivor: Africa,Clarence Black,24,"Detroit, MI",Basketball Coach,10th,"October 11, 2001","January 10, 2002","Clarence Black finishes 10th in  USA Survivor Season 3 titled Survivor: Africa, 
    Clarence Black is 24 years old from Detroit, MI and works as Basketball Coach. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
39,3,Survivor: Africa,Kelly Goldsmith,22,"San Diego, CA",Behavior Analyst,9th,"October 11, 2001","January 10, 2002","Kelly Goldsmith finishes 9th in  USA Survivor Season 3 titled Survivor: Africa, 
    Kelly Goldsmith is 22 years old from San Diego, CA and works as Behavior Analyst. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
40,3,Survivor: Africa,Brandon Quinton,25,"Dallas, TX",Bartender,8th,"October 11, 2001","January 10, 2002","Brandon Quinton finishes 8th in  USA Survivor Season 3 titled Survivor: Africa, 
    Brandon Quinton is 25 years old from Dallas, TX and works as Bartender. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
41,3,Survivor: Africa,Frank Garrison,43,"Odessa, NY",Telephone Technician,7th,"October 11, 2001","January 10, 2002","Frank Garrison finishes 7th in  USA Survivor Season 3 titled Survivor: Africa, 
    Frank Garrison is 43 years old from Odessa, NY and works as Telephone Technician. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
42,3,Survivor: Africa,"Kimberly ""Kim"" Powers",29,"Conshohocken, PA",Freelance Marketer,6th,"October 11, 2001","January 10, 2002","Kimberly ""Kim"" Powers finishes 6th in  USA Survivor Season 3 titled Survivor: Africa, 
    Kimberly ""Kim"" Powers is 29 years old from Conshohocken, PA and works as Freelance Marketer. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
43,3,Survivor: Africa,Teresa Cooper,42,"Jackson, GA",Flight Attendant,5th,"October 11, 2001","January 10, 2002","Teresa Cooper finishes 5th in  USA Survivor Season 3 titled Survivor: Africa, 
    Teresa Cooper is 42 years old from Jackson, GA and works as Flight Attendant. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
44,3,Survivor: Africa,"Tom ""Big Tom"" Buchanan",46,"Rich Valley, VA",Goat Farmer,4th,"October 11, 2001","January 10, 2002","Tom ""Big Tom"" Buchanan finishes 4th in  USA Survivor Season 3 titled Survivor: Africa, 
    Tom ""Big Tom"" Buchanan is 46 years old from Rich Valley, VA and works as Goat Farmer. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
45,3,Survivor: Africa,"Alexis ""Lex"" van den Berghe",38,"Santa Cruz, CA",Marketing Manager,3rd,"October 11, 2001","January 10, 2002","Alexis ""Lex"" van den Berghe finishes 3rd in  USA Survivor Season 3 titled Survivor: Africa, 
    Alexis ""Lex"" van den Berghe is 38 years old from Santa Cruz, CA and works as Marketing Manager. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
46,3,Survivor: Africa,Kim Johnson,57,"Oyster Bay, NY",Retired Teacher,Runner-up,"October 11, 2001","January 10, 2002","Kim Johnson finishes Runner-up in  USA Survivor Season 3 titled Survivor: Africa, 
    Kim Johnson is 57 years old from Oyster Bay, NY and works as Retired Teacher. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
47,3,Survivor: Africa,Ethan Zohn,27,"New York, NY",Professional Soccer Player,Winner,"October 11, 2001","January 10, 2002","Ethan Zohn is a Winner of  USA Survivor Season 3 titled Survivor: Africa, 
    Ethan Zohn is 27 years old from New York, NY and works as Professional Soccer Player. 
    Season 3 titled Survivor: Africa aired during October 11, 2001 and January 10, 2002
    "
48,4,Survivor: Marquesas,Peter Harkey,45,"Millis, MA",Bowling Alley Owner,16th,"February 28, 2002","May 19, 2002","Peter Harkey finishes 16th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Peter Harkey is 45 years old from Millis, MA and works as Bowling Alley Owner. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
49,4,Survivor: Marquesas,Patricia Jackson,49,"Lugoff, SC",Truck Assembler,15th,"February 28, 2002","May 19, 2002","Patricia Jackson finishes 15th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Patricia Jackson is 49 years old from Lugoff, SC and works as Truck Assembler. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
50,4,Survivor: Marquesas,Hunter Ellis,33,"La Jolla, CA",Ex-Navy Fighter Pilot,14th,"February 28, 2002","May 19, 2002","Hunter Ellis finishes 14th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Hunter Ellis is 33 years old from La Jolla, CA and works as Ex-Navy Fighter Pilot. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
51,4,Survivor: Marquesas,Sarah Jones,24,"Newport Beach, CA",Account Manager,13th,"February 28, 2002","May 19, 2002","Sarah Jones finishes 13th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Sarah Jones is 24 years old from Newport Beach, CA and works as Account Manager. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
52,4,Survivor: Marquesas,"Gabriel ""Gabe"" Cade",23,"Hollywood, CA",Bartender,12th,"February 28, 2002","May 19, 2002","Gabriel ""Gabe"" Cade finishes 12th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Gabriel ""Gabe"" Cade is 23 years old from Hollywood, CA and works as Bartender. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
53,4,Survivor: Marquesas,Gina Crews,28,"Gainesville, FL",Nature Guide,11th,"February 28, 2002","May 19, 2002","Gina Crews finishes 11th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Gina Crews is 28 years old from Gainesville, FL and works as Nature Guide. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
54,4,Survivor: Marquesas,"Robert ""Rob"" Mariano",26,"Canton, MA",Construction Worker,10th,"February 28, 2002","May 19, 2002","Robert ""Rob"" Mariano finishes 10th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Robert ""Rob"" Mariano is 26 years old from Canton, MA and works as Construction Worker. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
55,4,Survivor: Marquesas,John Carroll,36,"Omaha, NE",Nurse,9th,"February 28, 2002","May 19, 2002","John Carroll finishes 9th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    John Carroll is 36 years old from Omaha, NE and works as Nurse. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
56,4,Survivor: Marquesas,Zoe Zanidakis,35,"Monhegan Island, ME",Fishing Boat Captain,8th,"February 28, 2002","May 19, 2002","Zoe Zanidakis finishes 8th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Zoe Zanidakis is 35 years old from Monhegan Island, ME and works as Fishing Boat Captain. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
57,4,Survivor: Marquesas,Tammy Leitner,29,"Mesa, AZ",Crime Reporter,7th,"February 28, 2002","May 19, 2002","Tammy Leitner finishes 7th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Tammy Leitner is 29 years old from Mesa, AZ and works as Crime Reporter. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
58,4,Survivor: Marquesas,"Robert ""The General"" DeCanio",38,"College Point, NY",Limousine Driver,6th,"February 28, 2002","May 19, 2002","Robert ""The General"" DeCanio finishes 6th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Robert ""The General"" DeCanio is 38 years old from College Point, NY and works as Limousine Driver. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
59,4,Survivor: Marquesas,Sean Rector,30,"Los Angeles, CA",Teacher,5th,"February 28, 2002","May 19, 2002","Sean Rector finishes 5th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Sean Rector is 30 years old from Los Angeles, CA and works as Teacher. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
60,4,Survivor: Marquesas,"Paschal ""Pappy"" English",57,"Thomaston, GA",Judge,4th,"February 28, 2002","May 19, 2002","Paschal ""Pappy"" English finishes 4th in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Paschal ""Pappy"" English is 57 years old from Thomaston, GA and works as Judge. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
61,4,Survivor: Marquesas,"Kathleen ""Kathy"" Vavrick-O'Brien",47,"Burlington, VT",Real Estate Agent,3rd,"February 28, 2002","May 19, 2002","Kathleen ""Kathy"" Vavrick-O'Brien finishes 3rd in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Kathleen ""Kathy"" Vavrick-O'Brien is 47 years old from Burlington, VT and works as Real Estate Agent. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
62,4,Survivor: Marquesas,Neleh Dennis,21,"Layton, UT",Student,Runner-up,"February 28, 2002","May 19, 2002","Neleh Dennis finishes Runner-up in  USA Survivor Season 4 titled Survivor: Marquesas, 
    Neleh Dennis is 21 years old from Layton, UT and works as Student. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
63,4,Survivor: Marquesas,Vecepia Towery,36,"Hayward, CA",Office Manager,Winner,"February 28, 2002","May 19, 2002","Vecepia Towery is a Winner of  USA Survivor Season 4 titled Survivor: Marquesas, 
    Vecepia Towery is 36 years old from Hayward, CA and works as Office Manager. 
    Season 4 titled Survivor: Marquesas aired during February 28, 2002 and May 19, 2002
    "
64,5,Survivor: Thailand,John Raymond,40,"Slidell, LA",Pastor,16th,"September 19, 2002","December 19, 2002","John Raymond finishes 16th in  USA Survivor Season 5 titled Survivor: Thailand, 
    John Raymond is 40 years old from Slidell, LA and works as Pastor. 
    Season 5 titled Survivor: Thailand aired during September 19, 2002 and December 19, 2002
    "
65,5,Survivor: Thailand,Tanya Vance,27,"Kingsport, TN",Social Worker,15th,"September 19, 2002","December 19, 2002","Tanya Vance finishes 15th in  USA Survivor Season 5 titled Survivor: Thailand, 
    Tanya Vance is 27 years old from Kingsport, TN and works as Social Worker. 
    Season 5 titled Survivor: Thailand aired during September 19, 2002 and December 19, 2002
    "
