,Season,Season Name,Name,Age,Hometown,Profession,Finish,Premiering Date,Finale Date,text
731,41,41,Eric Abraham,51,"San Antonio, TX",Cyber Security Analyst,18th,"September 22, 2021","December 15, 2021","Eric Abraham finishes 18th in  USA Survivor Season 41 titled 41, 
    Eric Abraham is 51 years old from San Antonio, TX and works as Cyber Security Analyst. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
732,41,41,Sara Wilson,24,"Boston, MA",Healthcare Consultant,17th,"September 22, 2021","December 15, 2021","Sara Wilson finishes 17th in  USA Survivor Season 41 titled 41, 
    Sara Wilson is 24 years old from Boston, MA and works as Healthcare Consultant. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
733,41,41,David Voce,35,"Chicago, IL",Neurosurgeon,16th,"September 22, 2021","December 15, 2021","David Voce finishes 16th in  USA Survivor Season 41 titled 41, 
    David Voce is 35 years old from Chicago, IL and works as Neurosurgeon. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
734,41,41,Brad Reese,50,"Shawnee, WY",Rancher,15th,"September 22, 2021","December 15, 2021","Brad Reese finishes 15th in  USA Survivor Season 41 titled 41, 
    Brad Reese is 50 years old from Shawnee, WY and works as Rancher. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
735,41,41,"Jairus ""JD"" Robinson",20,"Oklahoma City, OK",College Student,14th,"September 22, 2021","December 15, 2021","Jairus ""JD"" Robinson finishes 14th in  USA Survivor Season 41 titled 41, 
    Jairus ""JD"" Robinson is 20 years old from Oklahoma City, OK and works as College Student. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
736,41,41,Genie Chen,46,"Portland, OR",Grocery Clerk,13th,"September 22, 2021","December 15, 2021","Genie Chen finishes 13th in  USA Survivor Season 41 titled 41, 
    Genie Chen is 46 years old from Portland, OR and works as Grocery Clerk. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
737,41,41,Sydney Segal,26,"Brooklyn, NY",Law Student,12th,"September 22, 2021","December 15, 2021","Sydney Segal finishes 12th in  USA Survivor Season 41 titled 41, 
    Sydney Segal is 26 years old from Brooklyn, NY and works as Law Student. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
738,41,41,Tiffany Seely,47,"Plainview, NY",Teacher,11th,"September 22, 2021","December 15, 2021","Tiffany Seely finishes 11th in  USA Survivor Season 41 titled 41, 
    Tiffany Seely is 47 years old from Plainview, NY and works as Teacher. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
739,41,41,Naseer Muttalif,37,"Morgan Hill, CA",Sales Manager,10th,"September 22, 2021","December 15, 2021","Naseer Muttalif finishes 10th in  USA Survivor Season 41 titled 41, 
    Naseer Muttalif is 37 years old from Morgan Hill, CA and works as Sales Manager. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
740,41,41,"Evelyn ""Evvie"" Jagoda",28,"Arlington, MA",PhD Student,9th,"September 22, 2021","December 15, 2021","Evelyn ""Evvie"" Jagoda finishes 9th in  USA Survivor Season 41 titled 41, 
    Evelyn ""Evvie"" Jagoda is 28 years old from Arlington, MA and works as PhD Student. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
741,41,41,"Shantel ""Shan"" Smith",34,"Washington, DC",Pastor,8th,"September 22, 2021","December 15, 2021","Shantel ""Shan"" Smith finishes 8th in  USA Survivor Season 41 titled 41, 
    Shantel ""Shan"" Smith is 34 years old from Washington, DC and works as Pastor. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
742,41,41,Liana Wallace,20,"Washington, DC",College Student,7th,"September 22, 2021","December 15, 2021","Liana Wallace finishes 7th in  USA Survivor Season 41 titled 41, 
    Liana Wallace is 20 years old from Washington, DC and works as College Student. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
743,41,41,Danny McCray,33,"Frisco, TX",Ex-NFL Player,6th,"September 22, 2021","December 15, 2021","Danny McCray finishes 6th in  USA Survivor Season 41 titled 41, 
    Danny McCray is 33 years old from Frisco, TX and works as Ex-NFL Player. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
744,41,41,Ricard Foyé,31,"Sedro-Woolley, WA",Flight Attendant,5th,"September 22, 2021","December 15, 2021","Ricard Foyé finishes 5th in  USA Survivor Season 41 titled 41, 
    Ricard Foyé is 31 years old from Sedro-Woolley, WA and works as Flight Attendant. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
745,41,41,Heather Aldret,52,"Charleston, SC",Stay-at-Home Mom,4th,"September 22, 2021","December 15, 2021","Heather Aldret finishes 4th in  USA Survivor Season 41 titled 41, 
    Heather Aldret is 52 years old from Charleston, SC and works as Stay-at-Home Mom. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
746,41,41,"Alexander ""Xander"" Hastings",21,"Chicago, IL",App Developer,2nd Runner-Up,"September 22, 2021","December 15, 2021","Alexander ""Xander"" Hastings finishes 2nd Runner-Up in  USA Survivor Season 41 titled 41, 
    Alexander ""Xander"" Hastings is 21 years old from Chicago, IL and works as App Developer. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
747,41,41,Deshawn Radden,26,"Miami, FL",Medical Student,Runner-Up,"September 22, 2021","December 15, 2021","Deshawn Radden finishes Runner-Up in  USA Survivor Season 41 titled 41, 
    Deshawn Radden is 26 years old from Miami, FL and works as Medical Student. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
